Name,Description,Example,Conditional requirement conditions
**##FOF-CT_Version=**,Version of the FOF format used in this case.,v2.0,
**##Table_Namespace=**,Identifier for this type of table. Value must be as in the example.,4dn_FOF-CT_mapping,
*##Cell_Type=*,"This field records the type of cells reported in this table. It is recommended to use an ontology term for example from the `EFO <http://www.ebi.ac.uk/efo/EFO_0000324>`_ ontology. Examples include:  Primary cell line, Immortal cell line, Induced pluripotent stem (IPS) cell, Cell in tissue, Cell in organoid, etc.",Cell in tissue,"Conditional requirement (Content-triggered, see :ref:`conditional-requirements-reference-label`): MUST be reported if this table reports Cell data."
*##Sub_Cell_ROI_type=*,"This field records the type of sub-cellular structure ROIs reported in this table. It is recommended to use an ontology term such as a child of the `GO 'cellular_component' term <http://purl.obolibrary.org/obo/GO_0005575>`_. Examples include: Nucleolus, Nuclear Lamina (NL), Nuclear Pore Complex (NPC) PML_body, Cajal_body, Chromosome_Domain, etc.",Nucleolus,"Conditional requirement (Content-triggered, see :ref:`conditional-requirements-reference-label`): MUST be reported if this table reports Sub-Cell ROI data."
*##Extra_Cell_ROI_Type=*,"This field records the type of extracellular structure ROIs reported in this table. It is recommended  to use an ontology term such as a child of the `EFO 'organism part' term <http://www.ebi.ac.uk/efo/EFO_0000635>`_. Examples include:  Tissue, Organoid, etc.",Tissue,"Conditional requirement (Content-triggered, see :ref:`conditional-requirements-reference-label`): MUST be reported if this table reports Extra-Cell ROI data."
**##ROI_Boundaries_Format_Type=**,"This field **MUST** be used to identify, from a controlled vocabulary, the standard/format used to encode ROI boundaries in the ``ROI_Boundaries`` column. Allowed values: OME_Polygon, OME_Mask, Mesh_OBJ, Mesh_STL, Mesh_PLY, GeoJSON, WKT, Label_Mask_Image, Other.",OME_Polygon,
*##ROI_Boundaries_Format_Description=*,"A free-text description of how ROI boundaries are encoded, beyond what the format name alone conveys (e.g., coordinate order, dimensionality, external file reference). **MUST** be reported when ##ROI_Boundaries_Format_Type= is 'Other'; recommended otherwise.","Boundaries are lists of comma-separated x,y coordinates separated by spaces (e.g. ""0,0 1,2 3,5"").",Conditional requirement: MUST be reported if ##ROI_Boundaries_Format_Type= is 'Other'.
**##XYZ_Unit=**,"The unit used to represent XYZ locations or distances in this table. Note: use micron to avoid problems with special, Greek symbols. Allowed values (closed list): 'nm', 'micron', 'mm'.",micron,
*##Time_Unit=*,"If relevant, the unit used to represent a time interval in this table. Allowed values (closed list): 'ms', 'msec', 's', 'sec', 'min', 'hr'.",sec,"Conditional requirement (Metric-triggered, see :ref:`conditional-requirements-reference-label`): MUST be reported if any time metric is reported in an optional column of this table."*##Intensity_Unit=*,"If relevant, the unit used to represent intensity measurements in this table.",a.u.,"Conditional requirement (Metric-triggered, see :ref:`conditional-requirements-reference-label`): MUST be reported if any intensity metric is reported in an optional column of this table."
**#Lab_Name:**,name of the lab where the experiment was performed.,Nobel,
**#Experimenter_Name:**,name of the person performing the experiment.,John Doe,
**#Experimenter_Contact:**,email address of the person performing the experiment.,john.doe@email.com,
**#Description:**,"A free-text, description of the experiment and of the data recorded in this table. This description should provide a clear understanding of the process utilized to produce the data and contain sufficient details to ensure interpretation and reproducibility.",,
**#Software_Title:**,"The name of the Software tool that was used to produce the results reported in this table. If more than one software tool was used, please repeat a set of Software-fields for describing each of them.",AlgorithmXYZ,
**#Software_Type:**,"The type of this Software used to produce results recorded in this table. Allowed values: Distance Calculation, DriftCorrection, Precision Assessment, Segmentation, Single Molecule Localization, SpotLoc, SpotLoc+Tracing, Tracing, Other",Segmentation
**#Software_Authors:**,"The Name(s) of the individual Author(s) of this Software. In case there are more than one Authors, individual names should be listed as follows, Doe, John; Smith, Jane; etc,.",John Doe
**#Software_Description:**,"A free-text, description of this Software. This description should provide a detailed understanding of the algorithm and of the analysis parameters that were used, in order to guarantee interpretation and reproducibility.",A pretty clear description
**#Software_Parameters:**,"A free-text description of the input parameters used for the specific analysis run performed using this Software. This description should provide sufficient details about the analysis parameters that were used as to guarantee interpretation and reproducibility. Example include input parameter used for assessing the precision of single molecule localization or drift correction in X,  Y and Z.","X_Loc_Precision Parameter = 1.01"
**#Software_Repository:**,The URL of any repository or archive where the Software executable release can be obtained.,https://github.com/repo_name_goes_here
**#Software_PreferredCitationID:**,"The Unique Identifier for the preferred/primary publication describing this Software. Examples include  Digital Object Identifier (DOI),  PubMed Central Identifier (PMCID),  ArXiv.org ID etc.",https://doi.org/doi_goes_here
*#Intensity_Measurement_Method:*,"If relevant, the method that was used to perform intensity measurements. In particular, sufficient information should be provided to document how digital intensity signals were converted to Photon counts.",Mean Fluorescence Intensity,"Conditional requirement (Metric-triggered, see :ref:`conditional-requirements-reference-label`): MUST be reported if any intensity metric is reported in an optional column of this table."
#^Optional_Column_1:,Optional column 1 description. This description should provide a clear understanding of the process utilized to produce the data and contain sufficient details to ensure interpretation and reproducibility.,,
#^Optional_Column_2:,Optional column 2 description. This description should provide a clear understanding of the process utilized to produce the data and contain sufficient details to ensure interpretation and reproducibility.,,
#^Optional_Column_3:,Optional column 3 description. This description should provide a clear understanding of the process utilized to produce the data and contain sufficient details to ensure interpretation and reproducibility.,,
**#Additional_Tables:**,list of the additional tables being submitted. Note: use a comma to separate each table name from the next.,"4dn_FOF-CT_core, 4dn_FOF-CT_rna, 4dn_FOF-CT_quality, 4dn_FOF-CT_bio, 4dn_FOF-CT_trace",
**##Columns=**,list of the data column headers used in the table. Note: enclose the column headers and use a comma to separate each header name from the next.,"(Cell_ID, ROI_Boundaries, Optional_Column_1, Optional_Column_2, Optional_Column_3)",
